cell_key,variant,mode,shape_name,shape_json,lengths_json,heads,dim
vanilla_linear_attn::forward::B8_T2048_H32_D256,vanilla_linear_attn,forward,B8_T2048_H32_D256,"[8, 32, 2048, 256, 256]",null,,
vanilla_linear_attn::forward_backward::B8_T2048_H32_D256,vanilla_linear_attn,forward_backward,B8_T2048_H32_D256,"[8, 32, 2048, 256, 256]",null,,
simple_gla::forward::B8_T2048_H32_D256,simple_gla,forward,B8_T2048_H32_D256,"[8, 32, 2048, 256, 256]",null,,
simple_gla::forward_backward::B8_T2048_H32_D256,simple_gla,forward_backward,B8_T2048_H32_D256,"[8, 32, 2048, 256, 256]",null,,
retention::forward::B8_T2048_H32_D256,retention,forward,B8_T2048_H32_D256,"[8, 32, 2048, 256, 256]",null,,
retention::forward_backward::B8_T2048_H32_D256,retention,forward_backward,B8_T2048_H32_D256,"[8, 32, 2048, 256, 256]",null,,
full_gla::forward::B8_T2048_H32_D256,full_gla,forward,B8_T2048_H32_D256,"[8, 32, 2048, 256, 256]",null,,
full_gla::forward_backward::B8_T2048_H32_D256,full_gla,forward_backward,B8_T2048_H32_D256,"[8, 32, 2048, 256, 256]",null,,
delta_rule::forward::B8_T2048_H32_D256,delta_rule,forward,B8_T2048_H32_D256,"[8, 32, 2048, 256, 256]",null,,
delta_rule::forward_backward::B8_T2048_H32_D256,delta_rule,forward_backward,B8_T2048_H32_D256,"[8, 32, 2048, 256, 256]",null,,
gated_delta_rule::forward::B8_T2048_H32_D256,gated_delta_rule,forward,B8_T2048_H32_D256,"[8, 32, 2048, 256, 256]",null,,
gated_delta_rule::forward_backward::B8_T2048_H32_D256,gated_delta_rule,forward_backward,B8_T2048_H32_D256,"[8, 32, 2048, 256, 256]",null,,
kda::forward::B8_T2048_H32_D256,kda,forward,B8_T2048_H32_D256,"[8, 32, 2048, 256, 256]",null,,
kda::forward_backward::B8_T2048_H32_D256,kda,forward_backward,B8_T2048_H32_D256,"[8, 32, 2048, 256, 256]",null,,
kda_fused::forward::B8_T2048_H32_D256,kda_fused,forward,B8_T2048_H32_D256,"[8, 32, 2048, 256, 256]",null,,
vanilla_linear_attn::forward::B8_T1024_H8_D64,vanilla_linear_attn,forward,B8_T1024_H8_D64,"[8, 8, 1024, 64, 64]",null,,
vanilla_linear_attn::forward_backward::B8_T1024_H8_D64,vanilla_linear_attn,forward_backward,B8_T1024_H8_D64,"[8, 8, 1024, 64, 64]",null,,
simple_gla::forward::B8_T1024_H8_D64,simple_gla,forward,B8_T1024_H8_D64,"[8, 8, 1024, 64, 64]",null,,
simple_gla::forward_backward::B8_T1024_H8_D64,simple_gla,forward_backward,B8_T1024_H8_D64,"[8, 8, 1024, 64, 64]",null,,
retention::forward::B8_T1024_H8_D64,retention,forward,B8_T1024_H8_D64,"[8, 8, 1024, 64, 64]",null,,
retention::forward_backward::B8_T1024_H8_D64,retention,forward_backward,B8_T1024_H8_D64,"[8, 8, 1024, 64, 64]",null,,
full_gla::forward::B8_T1024_H8_D64,full_gla,forward,B8_T1024_H8_D64,"[8, 8, 1024, 64, 64]",null,,
full_gla::forward_backward::B8_T1024_H8_D64,full_gla,forward_backward,B8_T1024_H8_D64,"[8, 8, 1024, 64, 64]",null,,
delta_rule::forward::B8_T1024_H8_D64,delta_rule,forward,B8_T1024_H8_D64,"[8, 8, 1024, 64, 64]",null,,
delta_rule::forward_backward::B8_T1024_H8_D64,delta_rule,forward_backward,B8_T1024_H8_D64,"[8, 8, 1024, 64, 64]",null,,
gated_delta_rule::forward::B8_T1024_H8_D64,gated_delta_rule,forward,B8_T1024_H8_D64,"[8, 8, 1024, 64, 64]",null,,
gated_delta_rule::forward_backward::B8_T1024_H8_D64,gated_delta_rule,forward_backward,B8_T1024_H8_D64,"[8, 8, 1024, 64, 64]",null,,
kda::forward::B8_T1024_H8_D64,kda,forward,B8_T1024_H8_D64,"[8, 8, 1024, 64, 64]",null,,
kda::forward_backward::B8_T1024_H8_D64,kda,forward_backward,B8_T1024_H8_D64,"[8, 8, 1024, 64, 64]",null,,
kda_fused::forward::B8_T1024_H8_D64,kda_fused,forward,B8_T1024_H8_D64,"[8, 8, 1024, 64, 64]",null,,
kda_varlen::forward::fixed_T8192_H96_D128,kda_varlen,forward,fixed_T8192_H96_D128,null,[8192],96,128
kda_varlen::forward::fixed_T8192_H64_D128,kda_varlen,forward,fixed_T8192_H64_D128,null,[8192],64,128
kda_varlen::forward::ragged_T8192_H96_D128,kda_varlen,forward,ragged_T8192_H96_D128,null,"[1300, 547, 2048, 963, 271, 3063]",96,128
kda_varlen::forward::ragged_T8192_H64_D128,kda_varlen,forward,ragged_T8192_H64_D128,null,"[1300, 547, 2048, 963, 271, 3063]",64,128
kda_varlen::forward::uniform_T8192_H96_D128,kda_varlen,forward,uniform_T8192_H96_D128,null,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",96,128
kda_varlen::forward::uniform_T8192_H64_D128,kda_varlen,forward,uniform_T8192_H64_D128,null,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",64,128
