cell_key,category,family,family_label,shape_id,dtype,source,status,base_status,torch_compile_status,expected_heuristic,heuristics_fired,compiler_seed_count,default_latency_us,seed_latency_us,torch_compile_latency_us,seed_speedup,torch_compile_speedup_vs_default,default_speedup_vs_torch_compile,seed_speedup_vs_torch_compile,default_config,seed_config,error
gdn_forward_h:b1_t8192_h64_c64_d64_s128,multi_matmul,gdn_forward_h,GDN forward-H,b1_t8192_h64_c64_d64_s128,bfloat16,published B200 held-out,ok,ok,ok,triton_h100_multi_matmul,"[""triton_h100_multi_matmul""]",6,404.6719968318939,158.4320068359375,9017.152309417725,2.554231338185014,0.04487802611576662,22.28261994902397,56.91496617066358,"{""atomic_indexing"": [], ""block_sizes"": [32], ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """", """", """", """"], ""loop_orders"": [[0, 1, 2]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}","{""atomic_indexing"": [], ""block_sizes"": [64], ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """", """", """", """"], ""loop_orders"": [[0, 1, 2]], ""num_stages"": 6, ""num_warps"": 8, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}",
gdn_forward_h:b2_t8192_h32_c128_d128_s256,multi_matmul,gdn_forward_h,GDN forward-H,b2_t8192_h32_c128_d128_s256,bfloat16,published B200 held-out,ok,ok,ok,triton_h100_multi_matmul,"[""triton_h100_multi_matmul""]",5,753.2959878444672,287.3919904232025,4721.61602973938,2.6211446837303716,0.15954198374026762,6.26794262272674,16.429184483487198,"{""atomic_indexing"": [], ""block_sizes"": [32], ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """", """", """", """"], ""loop_orders"": [[0, 1, 2]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}","{""atomic_indexing"": [], ""block_sizes"": [128], ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """", """", """", """"], ""loop_orders"": [[0, 1, 2]], ""num_stages"": 2, ""num_warps"": 8, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}",
gdn_forward_h:b4_t4096_h64_c128_d64_s128,multi_matmul,gdn_forward_h,GDN forward-H,b4_t4096_h64_c128_d64_s128,bfloat16,published B200 held-out,ok,ok,ok,triton_h100_multi_matmul,"[""triton_h100_multi_matmul""]",7,387.7599984407425,240.9759983420372,2339.583992958069,1.6091229048063227,0.16573886622915193,6.033587792361218,9.70878431484825,"{""atomic_indexing"": [], ""block_sizes"": [32], ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """", """", """", """"], ""loop_orders"": [[0, 1, 2]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}","{""atomic_indexing"": [], ""block_sizes"": [128], ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """", """", """", """"], ""loop_orders"": [[0, 1, 2]], ""num_stages"": 3, ""num_warps"": 8, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}",
gdn_forward_h:b8_t2048_h32_c256_d64_s128,multi_matmul,gdn_forward_h,GDN forward-H,b8_t2048_h32_c256_d64_s128,bfloat16,published B200 held-out,ok,ok,ok,triton_h100_multi_matmul,"[""triton_h100_multi_matmul""]",7,222.59199619293213,167.29600727558136,732.7520251274109,1.3305278459291827,0.3037753408518084,3.291906437158218,4.379973180832534,"{""atomic_indexing"": [], ""block_sizes"": [32], ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """", """", """", """"], ""loop_orders"": [[0, 1, 2]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [], ""static_ranges"": [false]}","{""atomic_indexing"": [], ""block_sizes"": [128], ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """", """", """", """"], ""loop_orders"": [[0, 1, 2]], ""num_stages"": 1, ""num_warps"": 8, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [], ""static_ranges"": [false]}",
gdn_forward_h:b8_t4096_h80_c256_d64_s128,multi_matmul,gdn_forward_h,GDN forward-H,b8_t4096_h80_c256_d64_s128,bfloat16,published B200 held-out,ok,ok,ok,triton_h100_multi_matmul,"[""triton_h100_multi_matmul""]",7,1438.7199878692627,804.9760162830353,3033.1519842147827,1.7872830479006452,0.4743316508228704,2.108229544170625,3.7680029253794625,"{""atomic_indexing"": [], ""block_sizes"": [32], ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """", """", """", """"], ""loop_orders"": [[0, 1, 2]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}","{""atomic_indexing"": [], ""block_sizes"": [128], ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """", """", """", """"], ""loop_orders"": [[0, 1, 2]], ""num_stages"": 1, ""num_warps"": 8, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}",
gdn_forward_h:b1_t4096_h32_c64_d128_s256,multi_matmul,gdn_forward_h,GDN forward-H,b1_t4096_h32_c64_d128_s256,bfloat16,H100 breadth supplement,ok,ok,ok,triton_h100_multi_matmul,"[""triton_h100_multi_matmul""]",5,241.16799980401993,118.48000064492226,5037.15181350708,2.035516530142387,0.04787785016868659,20.88648501293876,42.514785500408074,"{""atomic_indexing"": [], ""block_sizes"": [32], ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """", """", """", """"], ""loop_orders"": [[0, 1, 2]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}","{""atomic_indexing"": [], ""block_sizes"": [64], ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """", """", """", """"], ""loop_orders"": [[0, 1, 2]], ""num_stages"": 5, ""num_warps"": 8, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}",
