cell_key,kernel,shape_json,default_status,seed_status,aot_tuned_status,vllm_cuda_status,default_us,seed_us,aot_tuned_us,vllm_cuda_us,default_vs_vllm_cuda,seed_vs_vllm_cuda,aot_tuned_vs_vllm_cuda,vllm_cuda_vs_vllm_cuda
"rms_norm_per_block_quant::hidden_size=5120,group_size=128,num_tokens=256",rms_norm_per_block_quant,"{""group_size"": 128, ""hidden_size"": 5120, ""num_tokens"": 256}",ok,ok,ok,ok,22.71999977529049,11.552000418305397,10.816000401973724,15.584000386297703,0.6859155167442537,1.3490304555047596,1.4408283845342595,1.0
"rms_norm_per_block_quant::hidden_size=5120,group_size=128,num_tokens=1024",rms_norm_per_block_quant,"{""group_size"": 128, ""hidden_size"": 5120, ""num_tokens"": 1024}",ok,ok,ok,ok,46.831998974084854,24.70399998128414,21.727999672293663,36.81600093841553,0.7861291797257721,1.4902850132086904,1.6944036033543044,1.0
"rms_norm_per_block_quant::hidden_size=5120,group_size=128,num_tokens=4096",rms_norm_per_block_quant,"{""group_size"": 128, ""hidden_size"": 5120, ""num_tokens"": 4096}",ok,ok,ok,ok,139.8880034685135,70.94399631023407,58.97599831223488,110.33599823713303,0.7887452497809639,1.5552549049343085,1.87086274746863,1.0
"silu_and_mul_per_block_quant::intermediate_size=6144,group_size=128,num_tokens=1",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 6144, ""num_tokens"": 1}",ok,ok,ok,ok,6.84799998998642,5.919999908655882,5.727999843657017,6.335999816656113,0.9252336194394004,1.0702702558140211,1.1061452495799862,1.0
"silu_and_mul_per_block_quant::intermediate_size=12288,group_size=128,num_tokens=1",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 12288, ""num_tokens"": 1}",ok,ok,ok,ok,7.199999876320362,6.383999949321151,6.240000016987324,6.399999838322401,0.8888888817027578,1.002506248297034,1.0256409969390232,1.0
"silu_and_mul_per_block_quant::intermediate_size=25600,group_size=128,num_tokens=1",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 25600, ""num_tokens"": 1}",ok,ok,ok,ok,7.488000206649303,6.463999859988689,5.98399993032217,6.432000081986189,0.8589743462179138,0.9950495391869398,1.074866336377096,1.0
"silu_and_mul_per_block_quant::intermediate_size=6144,group_size=128,num_tokens=8",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 6144, ""num_tokens"": 8}",ok,ok,ok,ok,7.455999962985516,6.3680000603199005,6.144000217318535,6.5119999926537275,0.8733905612904813,1.0226130544864651,1.0598957946482301,1.0
"silu_and_mul_per_block_quant::intermediate_size=12288,group_size=128,num_tokens=8",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 12288, ""num_tokens"": 8}",ok,ok,ok,ok,7.823999971151352,6.6559999249875546,6.496000103652477,6.912000011652708,0.8834355875688433,1.0384615519156022,1.0640393936826338,1.0
"silu_and_mul_per_block_quant::intermediate_size=25600,group_size=128,num_tokens=8",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 25600, ""num_tokens"": 8}",ok,ok,ok,ok,7.807999849319458,7.552000228315592,6.304000038653612,7.327999919652939,0.9385245979854424,0.9703389430759307,1.162436528350344,1.0
"silu_and_mul_per_block_quant::intermediate_size=6144,group_size=128,num_tokens=32",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 6144, ""num_tokens"": 32}",ok,ok,ok,ok,7.840000092983246,6.912000011652708,6.624000146985054,7.519999984651804,0.959183660135688,1.0879629589082884,1.1352656729747461,1.0
"silu_and_mul_per_block_quant::intermediate_size=12288,group_size=128,num_tokens=32",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 12288, ""num_tokens"": 32}",ok,ok,ok,ok,8.448000065982342,7.7599999494850636,7.023999933153391,8.704000152647495,1.0303030403250104,1.1216495115087048,1.2391799879673229,1.0
"silu_and_mul_per_block_quant::intermediate_size=25600,group_size=128,num_tokens=32",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 25600, ""num_tokens"": 32}",ok,ok,ok,ok,9.696000255644321,8.352000266313553,8.352000266313553,10.784000158309937,1.112211208124944,1.2911877172472639,1.2911877172472639,1.0
"silu_and_mul_per_block_quant::intermediate_size=6144,group_size=128,num_tokens=64",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 6144, ""num_tokens"": 64}",ok,ok,ok,ok,8.031999692320824,7.040000054985285,6.880000000819564,8.576000109314919,1.0677291381764118,1.2181818241950062,1.2465116436472852,1.0
"silu_and_mul_per_block_quant::intermediate_size=12288,group_size=128,num_tokens=64",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 12288, ""num_tokens"": 64}",ok,ok,ok,ok,9.056000038981438,8.00000037997961,7.807999849319458,10.432000271975994,1.1519434879716852,1.3039999720603241,1.3360656343871782,1.0
"silu_and_mul_per_block_quant::intermediate_size=25600,group_size=128,num_tokens=64",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 25600, ""num_tokens"": 64}",ok,ok,ok,ok,11.071999557316303,9.600000455975533,9.279999881982803,15.552000142633915,1.4046243464991162,1.6199999379118313,1.6758621056481102,1.0
"silu_and_mul_per_block_quant::intermediate_size=6144,group_size=128,num_tokens=128",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 6144, ""num_tokens"": 128}",ok,ok,ok,ok,9.344000369310379,8.592000231146812,7.952000014483929,10.768000036478043,1.1523972186307565,1.2532588159673257,1.3541247506117953,1.0
"silu_and_mul_per_block_quant::intermediate_size=12288,group_size=128,num_tokens=128",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 12288, ""num_tokens"": 128}",ok,ok,ok,ok,10.704000014811754,9.535999968647957,8.991999551653862,14.928000047802925,1.394618836616795,1.5654362517704017,1.6601424368462383,1.0
"silu_and_mul_per_block_quant::intermediate_size=25600,group_size=128,num_tokens=128",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 25600, ""num_tokens"": 128}",ok,ok,ok,ok,14.368000440299511,12.992000207304955,12.1760000474751,24.639999493956566,1.714921961224754,1.8965516549254935,2.0236530385909526,1.0
"silu_and_mul_per_block_quant::intermediate_size=6144,group_size=128,num_tokens=256",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 6144, ""num_tokens"": 256}",ok,ok,ok,ok,11.296000331640244,9.631999768316746,9.535999968647957,15.135999768972397,1.3399432829845326,1.5714285852414955,1.5872483031392486,1.0
"silu_and_mul_per_block_quant::intermediate_size=12288,group_size=128,num_tokens=256",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 12288, ""num_tokens"": 256}",ok,ok,ok,ok,14.688000082969666,13.008000329136848,12.256000190973282,24.09599907696247,1.640522803707029,1.8523984061554348,1.9660573353049975,1.0
"silu_and_mul_per_block_quant::intermediate_size=25600,group_size=128,num_tokens=256",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 25600, ""num_tokens"": 256}",ok,ok,ok,ok,22.6879995316267,19.711999222636223,17.952000722289085,43.407998979091644,1.9132581045138688,2.2021104246617553,2.4180034109065383,1.0
"silu_and_mul_per_block_quant::intermediate_size=6144,group_size=128,num_tokens=1024",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 6144, ""num_tokens"": 1024}",ok,ok,ok,ok,23.584000766277313,19.42400075495243,17.472000792622566,41.760001331567764,1.7706919935009608,2.1499176126689785,2.3901098578933584,1.0
"silu_and_mul_per_block_quant::intermediate_size=12288,group_size=128,num_tokens=1024",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 12288, ""num_tokens"": 1024}",ok,ok,ok,ok,34.143999218940735,30.7839997112751,28.591999784111977,77.02399790287018,2.2558575347009318,2.5020789574221243,2.6939003387119125,1.0
"silu_and_mul_per_block_quant::intermediate_size=25600,group_size=128,num_tokens=1024",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 25600, ""num_tokens"": 1024}",ok,ok,ok,ok,62.272001057863235,54.76799979805946,50.52800104022026,152.48000621795654,2.4486125967956593,2.784107631832105,3.0177328031754618,1.0
"silu_and_mul_per_block_quant::intermediate_size=6144,group_size=128,num_tokens=4096",silu_and_mul_per_block_quant,"{""group_size"": 128, ""intermediate_size"": 6144, ""num_tokens"": 4096}",ok,ok,ok,ok,65.47199934720993,53.247999399900436,49.02400076389313,147.5840061903,2.2541545647267487,2.7716347628747897,3.010443943591762,1.0
