cell_key,kernel,shape_group,shape_json,source,model,basis,reason,default_status,seed_status,torch_compile_status,default_us,seed_us,torch_compile_us,default_vs_torch_compile,seed_vs_torch_compile,torch_compile_vs_torch_compile
fused_linear_jsd:128x128256,fused_linear_jsd,vocabulary,"[128, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's fixed model sweep does not cover a small token population.,ok,ok,ok,543.8880026340485,203.3279985189438,295.3439950942993,0.5430235520253232,1.4525495615242705,1.0
fused_linear_jsd:8192x128256,fused_linear_jsd,vocabulary,"[8192, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's fixed model sweep does not cover a large token population.,ok,ok,ok,16129.216194152832,12365.743637084961,14058.480262756348,0.8716158363512315,1.1368891896314959,1.0
fused_linear_jsd:2048x256000,fused_linear_jsd,vocabulary,"[2048, 256000]",synthetic_real_regime,,256k-vocabulary language models,Liger's model registry tops out at 152064 and omits this common wider-vocabulary regime.,ok,ok,ok,8140.480041503906,6475.327968597412,7636.816024780273,0.9381284624302594,1.1793713093476632,1.0
grpo:2x512x32000,grpo,grpo,"[2, 512, 32000]",liger_grpo_kernel,,,,ok,ok,ok,1068.8000321388245,47.568000853061676,46.52800038456917,0.043532933182514846,0.9781365529380752,1.0
grpo:4x512x32000,grpo,grpo,"[4, 512, 32000]",liger_grpo_kernel,,,,ok,ok,ok,1156.063973903656,80.04799857735634,95.15200182795525,0.08230686534297714,1.1886868318887795,1.0
grpo:8x512x32000,grpo,grpo,"[8, 512, 32000]",liger_grpo_kernel,,,,ok,ok,ok,1456.1439752578735,142.19199866056442,173.8239973783493,0.11937280951051987,1.2224597657797585,1.0
grpo:16x512x32000,grpo,grpo,"[16, 512, 32000]",liger_grpo_kernel,,,,ok,ok,ok,2616.192102432251,261.24799251556396,263.279989361763,0.10063480778685704,1.0077780381262758,1.0
grpo:4x1024x102400,grpo,grpo,"[4, 1024, 102400]",model_anchored_supplement,,DeepSeek V2 Lite vocabulary,Liger's low-level GRPO benchmark fixes both sequence length and vocabulary.,ok,ok,ok,3289.375901222229,402.319997549057,443.2480037212372,0.13475139875516814,1.1017299821572741,1.0
grpo:4x1024x128256,grpo,grpo,"[4, 1024, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's low-level GRPO benchmark fixes both sequence length and vocabulary.,ok,ok,ok,4076.9121646881104,514.8960053920746,660.7680022716522,0.16207560417780106,1.2833038037817004,1.0
grpo:8x1024x152064,grpo,grpo,"[8, 1024, 152064]",model_anchored_supplement,,Qwen 2.5 vocabulary,Liger's low-level GRPO benchmark fixes both sequence length and vocabulary.,ok,ok,ok,6499.056100845337,1197.6799964904785,1539.9999618530273,0.23695748089522084,1.2858192224681364,1.0
grpo:4x2048x128256,grpo,grpo,"[4, 2048, 128256]",model_anchored_supplement,,Llama 3 vocabulary with a longer completion,Liger's low-level GRPO benchmark fixes the completion length at 512.,ok,ok,ok,4050.447940826416,1040.1920080184937,1295.311987400055,0.31979475019144954,1.245262391380559,1.0
